metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
,"Rate per 100,000 inhabitants",,317.3,0.6,52.6,51.5,212.8,1647.9,254.8,1271.9,121.2
"Anniston-Oxford-Jacksonville, AL M.S.A.",,114790,,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,22205,735,7,39,87,602,1712,712,888,112
,City of Oxford,17066,63,0,0,7,56,763,127,615,21
,City of Jacksonville,12150,123,0,6,16,101,501,140,335,26
,Total area actually reporting,0.993,1023,8,59,123,833,3743,1263,2298,182
,Estimated total,1,1027,8,59,124,836,3768,1268,2316,184
,"Rate per 100,000 inhabitants",,894.7,7,51.4,108,728.3,3282.5,1104.6,2017.6,160.3
"Appleton, WI M.S.A.",,234069, ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,74439,208,2,30,20,156,1294,175,1080,39
,Total area actually reporting,1,354,4,60,31,259,3110,404,2605,101
,"Rate per 100,000 inhabitants",,151.2,1.7,25.6,13.2,110.7,1328.7,172.6,1112.9,43.1
"Asheville, NC M.S.A.3",,451305, ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,89546,537,10,48,144,335,4357,752,3345,260
,Total area actually reporting,0.995,1079,23,98,245,713,,,6866,722
,Estimated total,1,1085,23,98,247,717,,,6918,725
,"Rate per 100,000 inhabitants",,240.4,5.1,21.7,54.7,158.9,,,1532.9,160.6
"Athens-Clarke County, GA M.S.A.",,205004, ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,123934,533,4,53,163,313,4100,822,3054,224
,Total area actually reporting,1,700,6,78,176,440,5757,1145,4301,311
,"Rate per 100,000 inhabitants",,341.5,2.9,38,85.9,214.6,2808.2,558.5,2098,151.7
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",,5790619,,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,472579,5121,111,136,2070,2804,24804,4411,16400,3993
,City of Sandy Springs,107685,117,3,14,66,34,2837,532,2091,214
,City of Roswell,95684,143,2,23,42,76,1702,228,1391,83
,City of Alpharetta,64943,35,1,5,20,9,1308,135,1129,44
,City of Marietta,59516,233,1,12,117,103,2282,307,1825,150
,Total area actually reporting,0.997,23275,395,1385,8324,13171,173043,33252,121238,18553
,Estimated total,1,23345,396,1390,8346,13213,173620,33364,121651,18605
,"Rate per 100,000 inhabitants",,403.2,6.8,24,144.1,228.2,2998.3,576.2,2100.8,321.3
"Auburn-Opelika, AL M.S.A",,160071,,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,63871,210,4,12,31,163,1125,203,844,78
,City of Opelika,30180,221,7,18,35,161,1476,233,1158,85
,Total area actually reporting,1,916,22,56,94,744,4137,885,2959,293
,"Rate per 100,000 inhabitants",,572.2,13.7,35,58.7,464.8,2584.5,552.9,1848.6,183
"Augusta-Richmond County, GA-SC M.S.A.",,595180, ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,0.999,2039,44,214,503,1278,18754,3644,13931,1179
,Estimated total,1,2040,44,214,503,1279,18761,3645,13937,1179
,"Rate per 100,000 inhabitants",,342.8,7.4,36,84.5,214.9,3152.2,612.4,2341.6,198.1
"Austin-Round Rock, TX M.S.A.",,2054651,,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,956911,3903,39,751,1048,2065,33545,5232,26125,2188
,City of Round Rock,119308,173,0,31,44,98,2653,303,2270,80
,Total area actually reporting,0.999,6510,70,1180,1411,3849,52484,8665,40428,3391
,Estimated total,1,6511,70,1180,1411,3850,52501,8668,40441,3392
,"Rate per 100,000 inhabitants",,316.9,3.4,57.4,68.7,187.4,2555.2,421.9,1968.3,165.1
"Bakersfield, CA M.S.A.",,884443, ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,378788,1821,32,67,614,1108,17138,3887,10203,3048
,Total area actually reporting,1,5128,88,307,1166,3567,32570,8351,17742,6477
,"Rate per 100,000 inhabitants",,579.8,9.9,34.7,131.8,403.3,3682.5,944.2,2006,732.3
"Baltimore-Columbia-Towson, MD M.S.A.",,2797991,,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,618385,11010,318,299,5236,5157,29547,7375,16855,5317
,Total area actually reporting,1,19873,395,909,7743,10826,78076,14986,54549,8541
,"Rate per 100,000 inhabitants",,710.3,14.1,32.5,276.7,386.9,2790.4,535.6,1949.6,305.3
"Bangor, ME M.S.A.",,152658, ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,32264,75,0,15,30,30,1340,180,1123,37
,Total area actually reporting,1,146,0,43,41,62,2964,584,2296,84
,"Rate per 100,000 inhabitants",,95.6,0,28.2,26.9,40.6,1941.6,382.6,1504,55
"Barnstable Town, MA M.S.A.4",,213081, ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,43974,199,1,16,15,167,711,133,558,20
,Total area actually reporting,1,,1,73,35,,3329,850,2346,133
,"Rate per 100,000 inhabitants",,,0.5,34.3,16.4,,1562.3,398.9,1101,62.4
"Baton Rouge, LA M.S.A.",,833146, ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,228389,2143,47,123,824,1149,9934,2364,6907,663
,Total area actually reporting,0.997,4198,79,278,1166,2675,28229,5994,20831,1404
,Estimated total,1,4207,79,279,1167,2682,28310,6008,20894,1408
,"Rate per 100,000 inhabitants",,505,9.5,33.5,140.1,321.9,3398,721.1,2507.8,169
"Battle Creek, MI M.S.A",,133914, ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,60904,594,3,83,64,444,2325,607,1629,89
,Total area actually reporting,1,1000,7,178,89,726,4205,1065,2979,161
,"Rate per 100,000 inhabitants",,746.7,5.2,132.9,66.5,542.1,3140.1,795.3,2224.6,120.2
"Bay City, MI M.S.A.",,105209, ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,33725,205,1,50,25,129,925,291,600,34
,Total area actually reporting,1,389,3,109,32,245,1950,505,1358,87
,"Rate per 100,000 inhabitants",,369.7,2.9,103.6,30.4,232.9,1853.5,480,1290.8,82.7
"Beaumont-Port Arthur, TX M.S.A.2",,408167,,,,,,,,,
,"Includes Hardin, Jefferson, Newton, and Orange Counties",, ,,,,,,,,
,City of Beaumont,118283,1316,14,86,379,837,5065,1460,3299,306
,City of Port Arthur,55510,362,5,18,105,234,1829,580,1123,126
,Total area actually reporting,0.971,2308,27,167,573,1541,10979,3034,7111,834
,Estimated total,1,2342,27,171,581,1563,11185,3083,7246,856
,"Rate per 100,000 inhabitants",,573.8,6.6,41.9,142.3,382.9,2740.3,755.3,1775.3,209.7
"Beckley, WV M.S.A",,121287, ,,,,, ,,,
,Includes Fayette and Raleigh Counties,,,,,,,,,,
,City of Beckley,16940,214,3,14,38,159,1278,246,984,48
,Total area actually reporting,0.957,491,12,34,57,388,3144,836,2161,147
,Estimated total,1,506,12,36,59,399,3323,865,2301,157
,"Rate per 100,000 inhabitants",,417.2,9.9,29.7,48.6,329,2739.8,713.2,1897.2,129.4
"Bellingham, WA M.S.A",,215331, ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,86005,224,0,61,47,116,4743,751,3709,283
,Total area actually reporting,1,483,4,124,69,286,6997,1388,5182,427
,"Rate per 100,000 inhabitants",,224.3,1.9,57.6,32,132.8,3249.4,644.6,2406.5,198.3
"Bend-Redmond, OR M.S.A.",,180071, ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,89244,96,0,17,20,59,2010,178,1740,92
,City of Redmond,29164,80,1,13,9,57,973,84,801,88
,Total area actually reporting,1,273,2,47,30,194,3909,438,3229,242
,"Rate per 100,000 inhabitants",,151.6,1.1,26.1,16.7,107.7,2170.8,243.2,1793.2,134.4
"Billings, MT M.S.A.",,170245, ,,,,, ,,,
,"Includes Carbon, Golden Valley, and Yellowstone Counties",,,,,,,,,,
,City of Billings,111447,514,0,61,81,372,5216,723,3698,795
,Total area actually reporting,0.997,641,3,79,92,467,6141,912,4316,913
,Estimated total,1,642,3,79,92,468,6156,913,4329,914
,"Rate per 100,000 inhabitants",,377.1,1.8,46.4,54,274.9,3616,536.3,2542.8,536.9
"Binghamton, NY M.S.A.",,243328, ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,45780,353,4,41,93,215,1844,436,1306,102
,Total area actually reporting,0.997,703,6,153,146,398,5165,1066,3890,209
,Estimated total,1,704,6,153,146,399,5177,1068,3900,209
,"Rate per 100,000 inhabitants",,289.3,2.5,62.9,60,164,2127.6,438.9,1602.8,85.9
"Bismarck, ND M.S.A.",,129489, ,,,,, ,,,
,"Includes Burleigh, Morton, Oliver, and Sioux Counties",,,,,,,,,,
,City of Bismarck,73248,212,2,35,29,146,2472,468,1715,289
,Total area actually reporting,1,380,3,62,34,281,3676,704,2523,449
,"Rate per 100,000 inhabitants",,293.5,2.3,47.9,26.3,217,2838.9,543.7,1948.4,346.7
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,181407,,,,,,,,,
,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,44528,43,0,19,3,21,409,62,333,14
,City of Christiansburg,22134,35,0,12,3,20,575,62,505,8
,City of Radford,17504,83,1,22,8,52,316,60,244,12
,Total area actually reporting,1,359,5,115,27,212,3051,470,2474,107
,"Rate per 100,000 inhabitants",,197.9,2.8,63.4,14.9,116.9,1681.9,259.1,1363.8,59
"Bloomington, IL M.S.A.",,189092,,,,,,,,,
,Includes DeWitt and McLean Counties,, ,,,,,,,,
,City of Bloomington,78604,307,0,42,59,206,1347,224,1064,59
,Total area actually reporting,0.947,503,3,89,91,320,2720,464,2163,93
,Estimated total,1,524,3,92,97,332,2890,491,2297,102
,"Rate per 100,000 inhabitants",,277.1,1.6,48.7,51.3,175.6,1528.4,259.7,1214.8,53.9
"Bloomington, IN M.S.A.",,166354, ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,84772,378,2,46,70,260,2703,546,2011,146
,Total area actually reporting,0.876,491,4,71,81,335,3967,773,2950,244
,Estimated total,1,520,5,75,85,355,4207,833,3106,268
,"Rate per 100,000 inhabitants",,312.6,3,45.1,51.1,213.4,2528.9,500.7,1867.1,161.1
"Boise City, ID M.S.A.",,693703,,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,220749,657,6,143,51,457,5134,732,4066,336
,Total area actually reporting,1,1693,17,349,103,1224,12282,2193,9139,950
,"Rate per 100,000 inhabitants",,244.1,2.5,50.3,14.8,176.4,1770.5,316.1,1317.4,136.9
"Boston-Cambridge-Newton, MA-NH M.S.A.4",,4798657,,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA",673880,4767,49,278,1530,2910,14489,1837,11429,1223
,"City of Cambridge, MA",111030,294,2,28,76,188,2369,326,1924,119
,"City of Newton, MA",89116,46,0,3,11,32,642,80,544,18
,"City of Framingham, MA",71422,211,0,8,18,185,831,122,655,54
,"City of Waltham, MA",63613,99,1,12,8,78,688,109,550,29
,Total area actually reporting,0.98,,88,1263,3399,,65828,9496,51258,5074
,Estimated total,1,,89,1291,3445,,67153,9729,52254,5170
,"Rate per 100,000 inhabitants",,,1.9,26.9,71.8,,1399.4,202.7,1088.9,107.7
"Boston, MA M.D.4",,1994514,,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,0.957,,58,632,2260,,30970,4471,24142,2357
,Estimated total,1,,59,657,2302,,32158,4682,25032,2444
,"Rate per 100,000 inhabitants",,,3,32.9,115.4,,1612.3,234.7,1255,122.5
"Cambridge-Newton-Framingham, MA M.D.",,2373065,,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,0.997,5562,25,451,1060,4026,29097,4291,22354,2452
,Estimated total,1,5582,25,453,1063,4041,29193,4308,22426,2459
,"Rate per 100,000 inhabitants",,235.2,1.1,19.1,44.8,170.3,1230.2,181.5,945,103.6
"Rockingham County-Strafford County, NH M.D.",,431078,,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,0.992,632,5,180,79,368,5761,734,4762,265
,Estimated total,1,637,5,181,80,371,5802,739,4796,267
,"Rate per 100,000 inhabitants",,147.8,1.2,42,18.6,86.1,1345.9,171.4,1112.6,61.9
"Boulder, CO M.S.A.",,324108, ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,109189,258,0,52,30,176,3275,559,2497,219
,Total area actually reporting,1,766,1,222,82,461,7501,1128,5875,498
,"Rate per 100,000 inhabitants",,236.3,0.3,68.5,25.3,142.2,2314.4,348,1812.7,153.7
"Bowling Green, KY M.S.A.",,170204, ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,64561,204,4,51,85,64,2773,379,2236,158
,Total area actually reporting,1,280,6,74,91,109,3664,691,2740,233
,"Rate per 100,000 inhabitants",,164.5,3.5,43.5,53.5,64,2152.7,406,1609.8,136.9
"Bremerton-Silverdale, WA M.S.A.",,262877,,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,39862,198,0,29,38,131,1576,257,1159,160
,Total area actually reporting,1,680,1,112,93,474,6993,1458,5000,535
,"Rate per 100,000 inhabitants",,258.7,0.4,42.6,35.4,180.3,2660.2,554.6,1902,203.5
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,935988,,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,148180,1115,10,69,441,595,3258,667,1857,734
,City of Stamford,130116,351,2,29,119,201,2073,268,1613,192
,City of Norwalk,88989,295,1,18,65,211,1427,239,1034,154
,City of Danbury,85335,161,0,30,75,56,1363,168,1056,139
,City of Stratford,52841,67,0,6,34,27,1160,177,867,116
,Total area actually reporting,1,2151,14,175,801,1161,13423,2137,9686,1600
,"Rate per 100,000 inhabitants",,229.8,1.5,18.7,85.6,124,1434.1,228.3,1034.8,170.9
"Brownsville-Harlingen, TX M.S.A.",,423865,,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,185583,448,4,50,130,264,6028,917,4960,151
,City of Harlingen,65913,281,2,35,58,186,2590,503,2018,69
,Total area actually reporting,1,1607,8,201,224,1174,12101,2116,9654,331
,"Rate per 100,000 inhabitants",,379.1,1.9,47.4,52.8,277,2854.9,499.2,2277.6,78.1
"Brunswick, GA M.S.A.",,116597, ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,16309,164,3,5,36,120,775,196,528,51
,Total area actually reporting,1,434,5,27,85,317,3520,850,2470,200
,"Rate per 100,000 inhabitants",,372.2,4.3,23.2,72.9,271.9,3018.9,729,2118.4,171.5
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",,1127663,,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,257446,2857,44,153,1049,1611,10599,2631,7133,835
,City of Cheektowaga Town,78100,181,2,22,68,89,2523,280,2128,115
,City of Niagara Falls,48675,565,3,14,199,349,2402,551,1665,186
,Total area actually reporting,1,4635,55,373,1566,2641,27260,5206,20555,1499
,"Rate per 100,000 inhabitants",,411,4.9,33.1,138.9,234.2,2417.4,461.7,1822.8,132.9
"Burlington, NC M.S.A.",,159667, ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,52760,392,6,15,71,300,1833,430,1309,94
,Total area actually reporting,1,625,11,28,99,487,3744,985,2570,189
,"Rate per 100,000 inhabitants",,391.4,6.9,17.5,62,305,2344.9,616.9,1609.6,118.4
"California-Lexington Park, MD M.S.A.",,111930,,,,,,,,,
,Includes St. Mary's County,, ,,,,,,,,
,Total area actually reporting,1,227,2,28,31,166,2075,413,1591,71
,"Rate per 100,000 inhabitants",,202.8,1.8,25,27.7,148.3,1853.8,369,1421.4,63.4
"Cape Coral-Fort Myers, FL M.S.A.",,720949,,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,179631,224,5,16,31,172,3081,632,2286,163
,City of Fort Myers,76579,947,15,55,161,716,2163,354,1589,220
,Total area actually reporting,1,2562,41,249,445,1827,11637,2459,8359,819
,"Rate per 100,000 inhabitants",,355.4,5.7,34.5,61.7,253.4,1614.1,341.1,1159.4,113.6
"Cape Girardeau, MO-IL M.S.A.",,97631,,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO",39738,236,5,10,54,167,1628,227,1332,69
,Total area actually reporting,1,469,6,21,72,370,2342,396,1841,105
,"Rate per 100,000 inhabitants",,480.4,6.1,21.5,73.7,379,2398.8,405.6,1885.7,107.5
"Carson City, NV M.S.A.",,54605, ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,1,157,1,3,20,133,995,211,698,86
,"Rate per 100,000 inhabitants",,287.5,1.8,5.5,36.6,243.6,1822.2,386.4,1278.3,157.5
"Casper, WY M.S.A.",,82870, ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,61343,70,0,2,7,61,1669,255,1297,117
,Total area actually reporting,1,168,0,23,12,133,2081,389,1535,157
,"Rate per 100,000 inhabitants",,202.7,0,27.8,14.5,160.5,2511.2,469.4,1852.3,189.5
"Cedar Rapids, IA M.S.A.4",,267187, ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,131181,387,4,67,100,216,5019,995,3670,354
,Total area actually reporting,0.949,566,5,96,114,351,,,4512,456
,Estimated total,1,589,5,100,115,369,,,4587,468
,"Rate per 100,000 inhabitants",,220.4,1.9,37.4,43,138.1,,,1716.8,175.2
"Chambersburg-Waynesboro, PA M.S.A.",,153940,,,,,,,,,
,Includes Franklin County,, ,,,,,,,,
,City of Chambersburg,20770,87,2,14,27,44,630,83,527,20
,City of Waynesboro,10902,29,6,6,6,11,266,43,211,12
,Total area actually reporting,1,221,13,52,56,100,2281,444,1763,74
,"Rate per 100,000 inhabitants",,143.6,8.4,33.8,36.4,65,1481.7,288.4,1145.3,48.1
"Champaign-Urbana, IL M.S.A.",,239184,,,,,,,,,
,"Includes Champaign, Ford, and Piatt Counties",, ,,,,,,,,
,City of Champaign,87071,625,3,41,124,457,2838,728,1979,131
,City of Urbana,42461,162,4,25,54,79,1543,327,1185,31
,Total area actually reporting,0.99,1048,11,125,214,698,6108,1506,4367,235
,Estimated total,1,1053,11,126,215,701,6147,1512,4398,237
,"Rate per 100,000 inhabitants",,440.2,4.6,52.7,89.9,293.1,2570,632.1,1838.8,99.1
"Charleston, WV M.S.A.",,218036, ,,,,, ,,,
,"Includes Boone, Clay, and Kanawha Counties",,,,,,,,,,
,City of Charleston,49429,767,13,36,152,566,3939,947,2694,298
,Total area actually reporting,0.916,1293,17,90,205,981,8585,2061,5708,816
,Estimated total,1,1341,17,96,210,1018,9056,2157,6052,847
,"Rate per 100,000 inhabitants",,615,7.8,44,96.3,466.9,4153.4,989.3,2775.7,388.5
"Charleston-North Charleston, SC M.S.A.",,762454, ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,135153,408,11,44,107,246,3359,417,2681,261
,City of North Charleston,110490,993,32,89,293,579,6218,918,4655,645
,Total area actually reporting,0.995,3170,72,250,667,2181,21566,3651,15963,1952
,Estimated total,1,3188,72,252,670,2194,21699,3670,16068,1961
,"Rate per 100,000 inhabitants",,418.1,9.4,33.1,87.9,287.8,2845.9,481.3,2107.4,257.2
"Charlottesville, VA M.S.A.",,230398, ,,,,, ,,,
,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,46979,245,1,36,43,165,1228,170,983,75
,Total area actually reporting,1,457,3,89,80,285,3369,446,2738,185
,"Rate per 100,000 inhabitants",,198.4,1.3,38.6,34.7,123.7,1462.3,193.6,1188.4,80.3
"Chattanooga, TN-GA M.S.A.",,551407, ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
